"FIELD","VISIT","SITE","FIND","ART","MAT","CURATE","PLOT","XCOORD","YCOORD","SLASSOC","HORASSOC"
"100044","2","3","347","1","1","4","1","2350624","4583060","6","5"
"100044","2","3","347","2","1","4","1","2350469","4582990","5","5"
"100044","2","3","347","3","4","4","1","2350474","4582993","5","5"
"100059","1","334","181","1","1","4","1","2349450","4582081","2","2"
"100059","1","334","181","2","1","4","1","2349476","4582132","2","2"
"100059","1","334","181","3","1","4","1","2349472","4582131","2","2"
"100059","1","334","181","4","1","4","1","2349458","4582151","6","2"
"100059","1","334","181","5","5","4","1","2349430","4582123","5","2"
"100059","1","334","181","6","1","4","1","2349449","4582104","2","2"
"100059","1","334","181","7","1","4","1","2349418","4582092","2","2"
"100059","1","334","181","10","5","4","1","2349363","4582155","6","2"
"100059","1","334","181","13","1","4","1","2349386","4582081","2","2"
"100059","1","334","181","14","1","4","1","2349404","4582064","2","2"
"100059","1","334","181","16","1","4","1","2349371","4582128","5","2"
"100059","1","334","181","19","1","4","1","2349469","4582112","2","2"
"100059","1","334","181","20","1","4","1","2349366","4582102","2","2"
"100059","1","334","181","21","1","4","1","2349339","4582130","6","2"
"100059","2","334","777","1","5","4","1","2349498","4582180","1","2"
"100059","2","334","777","2","1","4","1","2349493","4582189","1","2"
"100059","2","334","777","3","1","4","1","2349492","4582183","1","2"
"100059","2","334","777","4","3","4","1","2349472","4582194","1","2"
"100059","2","334","777","5","1","4","1","2349459","4582198","1","2"
"100059","2","334","777","6","5","4","1","2349434","4582175","1","2"
"100059","2","334","777","7","1","4","1","2349441","4582172","1","2"
"100059","2","334","777","8","1","4","1","2349445","4582169","1","2"
"100059","2","334","777","9","1","4","1","2349438","4582159","1","2"
"100059","2","334","777","10","1","4","1","2349474","4582121","1","2"
"100059","2","334","777","11","1","4","1","2349431","4582092","1","2"
"100059","2","334","777","12","5","4","1","2349422","4582098","1","2"
"100059","2","334","777","13","5","4","1","2349415","4582108","1","2"
"100059","2","334","777","14","5","4","1","2349407","4582112","1","2"
