vessel_id,shape_class,rim_orient,rim_profile,base_type,additional_elem,height,opening_diam,base_diam,neck_diam,belly_diam,neck_height,belly_height,H-Bd,Bd-Rd,Bd-Nd,H-Bh,H-Nh,Bd-BaD
JZ001_P001,N,B,09,02,N,6.90,4.80,0.80,3.84,6.67,5.88,2.95,1.03,1.39,1.74,2.34,1.17,8.34
JZ001_P003,N,B,09,02,N,12.10,9.30,2.20,8.14,12.12,10.48,6.00,1.00,1.30,1.49,2.02,1.15,5.51
JZ001_P004,C,A,03,04,N,7.40,17.00,4.50,17.00,17.00,7.40,7.40,0.44,1.00,1.00,1.00,1.00,3.78
JZ001_P005,E,B,01,04,N,6.35,12.30,5.60,12.30,12.30,6.35,6.35,0.52,1.00,1.00,1.00,1.00,2.20
JZ001_P008,K,B,13,04,S,9.60,5.40,2.20,3.18,8.58,7.69,4.15,1.12,1.59,2.70,2.31,1.25,3.90
JZ001_P009,K,B,03,02,S,18.00,7.23,1.60,4.88,12.41,15.45,6.89,1.45,1.72,2.54,2.61,1.17,7.76
JZ001_P010,H,B,07,02,N,15.30,11.00,0.50,9.02,12.61,13.43,7.99,1.21,1.15,1.40,1.91,1.14,25.22
JZ001_P011,P,B,13,02,N,16.60,8.70,3.19,7.22,16.74,14.45,7.07,0.99,1.92,2.32,2.35,1.15,5.25
JZ001_P012,H,B,03,04,N,72.40,52.30,39.50,46.73,58.77,66.38,38.50,1.23,1.12,1.26,1.88,1.09,1.49
JZ001_P013,E,B,01,04,N,5.56,12.00,7.00,12.00,12.00,5.56,5.56,0.46,1.00,1.00,1.00,1.00,1.71
JZ001_P014,E,B,01,03,N,8.14,19.30,3.23,19.30,19.30,8.14,8.14,0.42,1.00,1.00,1.00,1.00,5.98
JZ001_P015,E,B,01,03,N,9.14,12.00,9.00,12.00,12.00,9.14,9.14,0.76,1.00,1.00,1.00,1.00,1.33
JZ001_P016,P,B,13,02,N,6.90,4.30,1.10,3.17,6.33,5.87,3.00,1.09,1.47,2.00,2.30,1.18,5.75
JZ001_P017,P,B,13,02,N,7.00,5.50,1.03,4.48,7.38,6.08,3.05,0.95,1.34,1.65,2.30,1.15,7.17
JZ001_P018,P,B,01,02,N,58.60,24.00,7.00,20.39,43.85,56.49,29.23,1.34,1.83,2.15,2.00,1.04,6.26
JZ001_P019,E,B,03,02,N,9.40,12.40,2.70,12.40,12.40,9.40,9.40,0.76,1.00,1.00,1.00,1.00,4.59
JZ001_P020,E,B,01,02,N,9.30,12.90,3.60,12.90,12.90,9.30,9.30,0.72,1.00,1.00,1.00,1.00,3.58
JZ001_P021,E,B,02,04,N,6.60,18.00,8.40,18.00,18.00,6.60,6.60,0.37,1.00,1.00,1.00,1.00,2.14
JZ001_P022,E,B,04,15,N,9.50,8.50,4.40,8.50,8.50,9.50,9.50,1.12,1.00,1.00,1.00,1.00,1.93
JZ001_P023,E,B,01,04,N,9.90,21.00,6.10,21.00,21.00,9.90,9.90,0.47,1.00,1.00,1.00,1.00,3.44
JZ001_P024,G,B,03,04,N,12.00,11.20,4.00,10.32,13.14,10.32,5.79,0.91,1.17,1.27,2.07,1.16,3.29
JZ001_P025,N,B,03,02,N,21.30,16.50,3.00,14.42,22.48,19.41,10.48,0.95,1.36,1.56,2.03,1.10,7.49
