num,mat,con,loo,peg,cond,date,maxle,socle,maxwi,upsoc,losoc,mawit,weight
1,2,3,1,2,3,300,12.4,3.1,3.6,1.0,1.7,6.2,167.0
2,2,3,1,2,4,450,22.6,7.8,4.3,1.3,1.6,11.3,342.1
3,2,3,1,2,4,400,17.9,5.2,4.1,1.7,2.0,7.5,322.9
5,2,3,1,1,3,350,16.8,6.6,5.7,1.1,1.7,7.0,358.1
6,2,3,1,2,3,400,13.3,3.1,4.1,1.6,1.9,5.6,227.9
7,2,3,1,2,2,450,14.1,5.8,5.8,1.2,1.8,6.8,323.8
9,2,2,1,2,4,150,22.5,9.2,6.2,1.3,2.0,13.1,613.8
10,2,1,1,2,3,300,16.9,4.5,3.6,1.4,1.9,5.2,254.3
11,2,1,1,2,2,50,19.1,4.6,4.1,1.5,1.8,10.6,310.1
12,2,1,1,2,3,100,25.8,8.6,4.7,1.4,1.6,12.7,426.8
13,2,1,1,2,2,600,22.5,8.4,3.9,1.7,2.7,18.0,521.2
14,2,1,1,2,3,300,27.6,8.7,6.0,1.5,2.1,14.4,765.1
15,2,1,1,2,2,350,38.0,9.6,5.6,2.0,2.6,13.6,1217.2
16,2,1,1,2,2,350,72.4,14.4,6.4,2.0,2.4,17.6,2446.5
17,2,1,1,2,2,350,37.5,10.2,3.9,1.8,2.1,14.1,675.7
18,2,2,1,2,3,450,10.2,3.0,2.7,1.4,1.5,5.8,90.9
19,2,2,1,2,2,200,11.6,4.6,2.0,0.9,1.7,5.6,86.8
20,2,2,1,1,3,400,10.8,3.1,2.7,1.9,1.7,5.4,109.1
21,1,1,2,1,2,900,11.4,4.2,1.8,0.8,1.5,6.1,67.7
22,1,1,1,2,2,900,16.6,7.2,2.8,1.6,2.0,9.5,204.5
23,1,1,2,1,1,1000,10.2,3.4,3.3,1.9,2.3,5.4,170.3
24,1,1,2,1,1,1200,18.6,6.6,2.7,1.4,1.6,8.5,176.8
25,1,1,2,1,2,1200,24.4,7.5,4.4,1.7,2.3,11.3,543.2
26,1,1,2,1,1,1000,23.5,8.0,4.5,2.0,2.7,8.7,628.2
27,1,1,2,1,2,1200,24.8,8.1,3.5,2.0,2.1,11.1,401.0
28,1,1,1,2,1,800,14.1,3.4,3.9,1.7,2.5,6.1,302.4
29,1,1,1,2,2,800,24.6,6.0,4.8,2.1,2.4,8.6,623.5
30,1,1,2,1,2,800,30.9,5.1,6.0,1.5,2.4,8.0,978.9
31,1,1,1,2,1,700,20.2,5.9,5.7,1.7,2.4,9.4,607.9
32,1,1,1,2,2,700,12.8,3.5,2.8,1.5,2.1,5.9,165.6
33,1,1,1,2,1,800,16.9,5.5,3.6,1.6,2.3,8.2,307.9
34,1,1,1,2,1,800,14.2,4.3,2.8,1.3,2.2,6.0,192.4
35,1,2,1,2,2,700,18.0,4.5,5.3,1.6,2.5,9.9,524.7
36,1,1,2,1,2,1000,11.7,3.6,2.4,2.2,1.8,6.6,111.2
37,1,1,1,2,1,800,14.1,5.4,2.4,1.5,2.4,8.4,178.7
38,1,1,2,1,2,1200,17.7,4.8,3.9,1.2,1.8,9.6,273.4
39,1,1,2,2,3,1200,36.6,13.5,6.0,1.6,2.7,18.1,1304.4
40,1,1,2,1,2,800,12.3,2.4,5.4,1.1,1.6,7.2,233.8
